Tissues	Types	Chr	BEG	END	Density
Four	specific	Chr01	1280000	1320000	0.608290270705431
Four	specific	Chr01	1320000	1360000	0.435598677824339
Four	specific	Chr01	5720000	5760000	0.286048402822823
Four	specific	Chr01	5800000	5840000	0.381822002075387
Four	specific	Chr01	5840000	5880000	0.372657366713271
Four	specific	Chr01	5880000	5920000	0.341858790002243
Four	specific	Chr01	6560000	6600000	0.575522619718286
Four	specific	Chr01	7040000	7080000	0.307454514296943
Four	specific	Chr01	7080000	7120000	0.322495184913462
Four	specific	Chr01	10400000	10440000	0.474201583443401
Four	specific	Chr01	10440000	10480000	0.769943189683166
Four	specific	Chr01	11240000	11280000	0.784837262771816
Four	specific	Chr01	11280000	11320000	0.751255900020964
Four	specific	Chr01	11400000	11440000	0.573286145013748
Four	specific	Chr01	11440000	11480000	0.345485455746329
Four	specific	Chr01	12280000	12320000	0.455305784463012
Four	specific	Chr01	12320000	12360000	0.603334822490349
Four	specific	Chr01	12360000	12400000	0.626020062793687
Four	specific	Chr01	12400000	12440000	0.255314214089307
Four	specific	Chr01	12440000	12480000	0.786798516160536
Four	specific	Chr01	12480000	12520000	0.899588387929119
Four	specific	Chr01	13200000	13240000	0.70795901079835
Four	specific	Chr01	13240000	13280000	0.346703100565802
Four	specific	Chr01	13280000	13320000	0.365777065480106
Four	specific	Chr01	14200000	14240000	0.694647387353943
Four	specific	Chr01	14240000	14280000	0.617394123339823
Four	specific	Chr01	14720000	14760000	0.274728128692991
Four	specific	Chr01	14760000	14800000	0.627498812487823
Four	specific	Chr01	14800000	14840000	0.317185840898438
Four	specific	Chr01	14840000	14880000	0.681603312709571
Four	specific	Chr01	14920000	14960000	0.942396881679176
Four	specific	Chr01	14960000	15000000	0.525902656692037
Four	specific	Chr01	15800000	15840000	0.582139692376878
Four	specific	Chr01	15840000	15880000	0.861293815021217
Four	specific	Chr01	15960000	16000000	0.664650045397703
Four	specific	Chr01	16000000	16040000	0.367411822317808
Four	specific	Chr01	18200000	18240000	0.434659055528395
Four	specific	Chr01	19120000	19160000	0.501384553720607
Four	specific	Chr01	19920000	19960000	0.754987351982602
Four	specific	Chr01	20000000	20040000	0.815637375943492
Four	specific	Chr01	20040000	20080000	0.282861905930272
Four	specific	Chr01	20160000	20200000	0.765890441664411
Four	specific	Chr01	23160000	23200000	0.572542247715792
Four	specific	Chr01	23200000	23240000	0.87665103465906
Four	specific	Chr01	24280000	24320000	0.765301379475216
Four	specific	Chr01	25040000	25080000	0.389014103714009
Four	specific	Chr01	25520000	25560000	0.973597427967244
