Tissues	Types	Chr	BEG	END	Density
HLvsGR	shared	Chr01	115280000	115320000	0.896219608795611
HLvsGR	shared	Chr01	133360000	133400000	0.82792030734421
HLvsGR	shared	Chr01	13840000	13880000	0.787743376858168
HLvsGR	shared	Chr01	154000000	154040000	0.647416401133352
HLvsGR	shared	Chr01	173360000	173400000	1.91038899656125
HLvsGR	shared	Chr01	173400000	173440000	3.07588922477975
HLvsGR	shared	Chr01	174720000	174760000	0.700208883642374
HLvsGR	shared	Chr01	180320000	180360000	2.21628500257842
HLvsGR	shared	Chr01	192160000	192200000	0.760563602061445
HLvsGR	shared	Chr01	196080000	196120000	2.3524254803182
HLvsGR	shared	Chr01	196120000	196160000	2.12182804308318
HLvsGR	shared	Chr01	198880000	198920000	0.536288913415791
HLvsGR	shared	Chr01	198920000	198960000	0.470307569246857
HLvsGR	shared	Chr01	199280000	199320000	1.49827318260344
HLvsGR	shared	Chr01	199320000	199360000	1.31807020609567
HLvsGR	shared	Chr01	20000000	20040000	1.90195384372553
HLvsGR	shared	Chr01	208440000	208480000	0.594015721705649
HLvsGR	shared	Chr01	208480000	208520000	0.911121609493683
HLvsGR	shared	Chr01	21000000	21040000	3.07127744280593
HLvsGR	shared	Chr01	216920000	216960000	0.881300521115227
HLvsGR	shared	Chr01	221680000	221720000	1.06318824681322
HLvsGR	shared	Chr01	222560000	222600000	1.33169737651216
HLvsGR	shared	Chr01	224040000	224080000	1.01101534544841
HLvsGR	shared	Chr01	235040000	235080000	2.06350815433582
HLvsGR	shared	Chr01	237280000	237320000	0.694889641918552
HLvsGR	shared	Chr01	237320000	237360000	1.28136855262873
HLvsGR	shared	Chr01	256120000	256160000	0.696062062123055
HLvsGR	shared	Chr01	25720000	25760000	1.5580269848959
HLvsGR	shared	Chr01	257640000	257680000	1.89074464416911
HLvsGR	shared	Chr01	257680000	257720000	0.677711946299946
HLvsGR	shared	Chr01	260800000	260840000	1.78498112350461
HLvsGR	shared	Chr01	260840000	260880000	1.17991069456371
HLvsGR	shared	Chr01	271160000	271200000	3.31012616291907
HLvsGR	shared	Chr01	27520000	27560000	2.46397899693818
HLvsGR	shared	Chr01	27560000	27600000	1.51363132849668
HLvsGR	shared	Chr01	277680000	277720000	1.24933231269639
HLvsGR	shared	Chr01	28640000	28680000	1.41337873864329
HLvsGR	shared	Chr01	287120000	287160000	0.980333812802073
HLvsGR	shared	Chr01	287720000	287760000	0.914839922370525
