Tissues	Types	Chr	BEG	END	Density
HLvsGR	shared	Chr01	10280000	10320000	4.25787982280381
HLvsGR	shared	Chr01	10360000	10400000	1.78846839407096
HLvsGR	shared	Chr01	10520000	10560000	3.42795971270866
HLvsGR	shared	Chr01	109960000	110000000	0.9460943326081
HLvsGR	shared	Chr01	110120000	110160000	2.82041638280143
HLvsGR	shared	Chr01	110320000	110360000	1.7824746022238
HLvsGR	shared	Chr01	110600000	110640000	1.79707410900251
HLvsGR	shared	Chr01	110840000	110880000	1.95233294868653
HLvsGR	shared	Chr01	110880000	110920000	0.738927465612099
HLvsGR	shared	Chr01	11680000	11720000	0.969832808111128
HLvsGR	shared	Chr01	118600000	118640000	2.66616024415092
HLvsGR	shared	Chr01	121600000	121640000	3.17827082477487
HLvsGR	shared	Chr01	128840000	128880000	1.22232936648528
HLvsGR	shared	Chr01	129200000	129240000	1.37869085161363
HLvsGR	shared	Chr01	129400000	129440000	2.67010557172947
HLvsGR	shared	Chr01	129440000	129480000	2.50198355580533
HLvsGR	shared	Chr01	131040000	131080000	7.33709021938505
HLvsGR	shared	Chr01	139280000	139320000	1.16994968732211
HLvsGR	shared	Chr01	139320000	139360000	2.32789055593126
HLvsGR	shared	Chr01	140760000	140800000	3.66218965193432
HLvsGR	shared	Chr01	140840000	140880000	1.55146930793632
HLvsGR	shared	Chr01	141160000	141200000	2.41170832295446
HLvsGR	shared	Chr01	141400000	141440000	2.7368475336782
HLvsGR	shared	Chr01	141440000	141480000	2.07017110499902
HLvsGR	shared	Chr01	14520000	14560000	4.93177762649978
HLvsGR	shared	Chr01	14560000	14600000	4.17738265742495
HLvsGR	shared	Chr01	155520000	155560000	2.13711240059642
HLvsGR	shared	Chr01	15880000	15920000	1.36243976135543
HLvsGR	shared	Chr01	15960000	16000000	0.729357243545201
HLvsGR	shared	Chr01	16000000	16040000	1.16908361158972
HLvsGR	shared	Chr01	164440000	164480000	8.0517680889716
HLvsGR	shared	Chr01	164480000	164520000	1.06784128713713
HLvsGR	shared	Chr01	164920000	164960000	2.51916844115054
HLvsGR	shared	Chr01	16520000	16560000	4.97495689795467
HLvsGR	shared	Chr01	16800000	16840000	1.09215611154708
HLvsGR	shared	Chr01	168080000	168120000	0.470602252169021
HLvsGR	shared	Chr01	168120000	168160000	1.58935215934751
HLvsGR	shared	Chr01	16920000	16960000	3.05422730459768
HLvsGR	shared	Chr01	170360000	170400000	4.05150448014174
HLvsGR	shared	Chr01	173000000	173040000	0.833607742288721
HLvsGR	shared	Chr01	173400000	173440000	3.07588922477975
HLvsGR	shared	Chr01	173640000	173680000	3.20287224522535
HLvsGR	shared	Chr01	174000000	174040000	1.23705331664142
HLvsGR	shared	Chr01	174160000	174200000	0.976693065014045
HLvsGR	shared	Chr01	174800000	174840000	4.65542825603636
HLvsGR	shared	Chr01	174920000	174960000	2.95698965486098
HLvsGR	shared	Chr01	175120000	175160000	8.76601100382734
HLvsGR	shared	Chr01	180520000	180560000	1.09355668437445
HLvsGR	shared	Chr01	18120000	18160000	1.46285091168051
HLvsGR	shared	Chr01	18160000	18200000	2.18659450425988
HLvsGR	shared	Chr01	186440000	186480000	1.11859472156457
HLvsGR	shared	Chr01	18880000	18920000	0.801582824648037
HLvsGR	shared	Chr01	189560000	189600000	1.96818942140628
HLvsGR	shared	Chr01	190400000	190440000	4.57059044602696
HLvsGR	shared	Chr01	190480000	190520000	4.67518446963784
HLvsGR	shared	Chr01	191760000	191800000	0.903457091229272
HLvsGR	shared	Chr01	192720000	192760000	5.44544952470434
HLvsGR	shared	Chr01	193240000	193280000	0.924184573336201
HLvsGR	shared	Chr01	194440000	194480000	4.3561982992842
HLvsGR	shared	Chr01	196040000	196080000	3.58839303404603
HLvsGR	shared	Chr01	196080000	196120000	2.3524254803182
HLvsGR	shared	Chr01	197920000	197960000	1.25028896948335
HLvsGR	shared	Chr01	197960000	198000000	0.938413681185454
HLvsGR	shared	Chr01	199040000	199080000	9.0272083966597
HLvsGR	shared	Chr01	20160000	20200000	1.16743609276552
HLvsGR	shared	Chr01	20240000	20280000	2.23033758601401
HLvsGR	shared	Chr01	202560000	202600000	5.13544111473343
HLvsGR	shared	Chr01	210840000	210880000	4.51003506177339
HLvsGR	shared	Chr01	211080000	211120000	1.61391855294077
HLvsGR	shared	Chr01	211120000	211160000	1.39612838764415
HLvsGR	shared	Chr01	214000000	214040000	0.747681421971585
HLvsGR	shared	Chr01	214040000	214080000	5.99870416801416
HLvsGR	shared	Chr01	214400000	214440000	7.77840729074447
HLvsGR	shared	Chr01	21440000	21480000	2.09335619839331
HLvsGR	shared	Chr01	21560000	21600000	3.87395852307394
HLvsGR	shared	Chr01	216360000	216400000	3.92281191016202
HLvsGR	shared	Chr01	22080000	22120000	3.65360253560394
HLvsGR	shared	Chr01	221280000	221320000	0.68349688377889
HLvsGR	shared	Chr01	221520000	221560000	2.13933442459526
HLvsGR	shared	Chr01	222240000	222280000	2.96876391427076
HLvsGR	shared	Chr01	222920000	222960000	6.7860589807843
HLvsGR	shared	Chr01	225440000	225480000	4.27819579697472
HLvsGR	shared	Chr01	227120000	227160000	1.31616145605731
HLvsGR	shared	Chr01	227160000	227200000	2.00579034399706
HLvsGR	shared	Chr01	227320000	227360000	1.54966213355464
HLvsGR	shared	Chr01	227360000	227400000	1.64880787428111
HLvsGR	shared	Chr01	22760000	22800000	4.91113848821549
HLvsGR	shared	Chr01	228720000	228760000	7.11431540211579
HLvsGR	shared	Chr01	22960000	23000000	3.51117342611256
HLvsGR	shared	Chr01	230200000	230240000	0.784270921208126
HLvsGR	shared	Chr01	230320000	230360000	0.710977267452111
HLvsGR	shared	Chr01	231600000	231640000	1.75335515633537
HLvsGR	shared	Chr01	232200000	232240000	5.0512845240488
HLvsGR	shared	Chr01	232280000	232320000	5.84698799157608
HLvsGR	shared	Chr01	234320000	234360000	0.754815277641424
HLvsGR	shared	Chr01	234480000	234520000	1.76078335206709
HLvsGR	shared	Chr01	236920000	236960000	0.642290316626943
HLvsGR	shared	Chr01	237080000	237120000	1.17720564480265
HLvsGR	shared	Chr01	240240000	240280000	1.19821933150073
HLvsGR	shared	Chr01	240280000	240320000	1.2960166453148
HLvsGR	shared	Chr01	240560000	240600000	1.19496169849829
HLvsGR	shared	Chr01	242640000	242680000	3.27583328289669
HLvsGR	shared	Chr01	243680000	243720000	1.8951190685965
HLvsGR	shared	Chr01	243840000	243880000	4.16319829006762
HLvsGR	shared	Chr01	245960000	246000000	3.80345833665028
HLvsGR	shared	Chr01	246040000	246080000	1.30033152141348
HLvsGR	shared	Chr01	246080000	246120000	1.24707618546831
HLvsGR	shared	Chr01	246480000	246520000	1.5863043159254
HLvsGR	shared	Chr01	247520000	247560000	5.86109295551309
HLvsGR	shared	Chr01	247840000	247880000	0.683531942358349
HLvsGR	shared	Chr01	251040000	251080000	0.989459510776189
HLvsGR	shared	Chr01	253400000	253440000	0.760836657746914
HLvsGR	shared	Chr01	254360000	254400000	1.4333083567994
HLvsGR	shared	Chr01	254440000	254480000	4.19422270624598
HLvsGR	shared	Chr01	255520000	255560000	5.47547100102209
HLvsGR	shared	Chr01	255560000	255600000	0.966277652067308
HLvsGR	shared	Chr01	257000000	257040000	0.808936805060725
HLvsGR	shared	Chr01	257160000	257200000	0.872848980158207
HLvsGR	shared	Chr01	258040000	258080000	1.14217768850942
HLvsGR	shared	Chr01	258960000	259000000	2.20746172516521
HLvsGR	shared	Chr01	260680000	260720000	0.544973518181672
HLvsGR	shared	Chr01	260880000	260920000	1.35572346216671
HLvsGR	shared	Chr01	260920000	260960000	1.44087354303619
HLvsGR	shared	Chr01	261120000	261160000	1.95603140083345
HLvsGR	shared	Chr01	261360000	261400000	2.00999271251
HLvsGR	shared	Chr01	285080000	285120000	1.65110215064938
HLvsGR	shared	Chr01	28600000	28640000	1.56370505001486
HLvsGR	shared	Chr01	29080000	29120000	1.33061681474766
HLvsGR	shared	Chr01	292240000	292280000	1.20906557726877
HLvsGR	shared	Chr01	292400000	292440000	1.64027970184131
HLvsGR	shared	Chr01	295200000	295240000	2.13017313747049
HLvsGR	shared	Chr01	301600000	301640000	0.655551840501502
HLvsGR	shared	Chr01	301720000	301760000	1.13720607047384
HLvsGR	shared	Chr01	303360000	303400000	0.919709768560963
HLvsGR	shared	Chr01	303480000	303520000	2.74064858344585
HLvsGR	shared	Chr01	308040000	308080000	3.95845340406902
HLvsGR	shared	Chr01	308200000	308240000	1.87003155114339
HLvsGR	shared	Chr01	309720000	309760000	7.1939843224749
HLvsGR	shared	Chr01	313920000	313960000	4.75053508080241
HLvsGR	shared	Chr01	314720000	314760000	0.834016203780242
HLvsGR	shared	Chr01	317800000	317840000	6.85527924012178
HLvsGR	shared	Chr01	319160000	319200000	2.25312610556345
HLvsGR	shared	Chr01	319240000	319280000	7.30433313423631
HLvsGR	shared	Chr01	320200000	320240000	4.53501482976111
HLvsGR	shared	Chr01	320400000	320440000	1.26960383967198
HLvsGR	shared	Chr01	320920000	320960000	1.98092409678941
HLvsGR	shared	Chr01	321960000	322000000	2.42578379973531
HLvsGR	shared	Chr01	322120000	322160000	2.14598519966491
