Tissues	Types	Chr	BEG	END	Density
HLvsGR	shared	Chr01	102680000	102720000	2.37659804214247
HLvsGR	shared	Chr01	102920000	102960000	1.92507557311611
HLvsGR	shared	Chr01	103160000	103200000	3.37749954173525
HLvsGR	shared	Chr01	103200000	103240000	4.73804067018282
HLvsGR	shared	Chr01	104240000	104280000	3.33806890957641
HLvsGR	shared	Chr01	104320000	104360000	4.52548942884429
HLvsGR	shared	Chr01	104760000	104800000	11.118872866695
HLvsGR	shared	Chr01	104840000	104880000	3.21470305421439
HLvsGR	shared	Chr01	111280000	111320000	5.32444555021638
HLvsGR	shared	Chr01	111760000	111800000	0.575772731150423
HLvsGR	shared	Chr01	111960000	112000000	3.51796722946962
HLvsGR	shared	Chr01	114520000	114560000	1.24926890906816
HLvsGR	shared	Chr01	115160000	115200000	1.06917943399822
HLvsGR	shared	Chr01	117280000	117320000	5.44301703601542
HLvsGR	shared	Chr01	117400000	117440000	3.77930381112113
HLvsGR	shared	Chr01	118560000	118600000	5.11316803360784
HLvsGR	shared	Chr01	118600000	118640000	2.66616024415092
HLvsGR	shared	Chr01	118760000	118800000	5.10032858035173
HLvsGR	shared	Chr01	119680000	119720000	4.33045796263611
HLvsGR	shared	Chr01	119760000	119800000	0.652588965399056
HLvsGR	shared	Chr01	120320000	120360000	1.4181540870779
HLvsGR	shared	Chr01	122200000	122240000	8.69601025753117
HLvsGR	shared	Chr01	122800000	122840000	5.34089328199134
HLvsGR	shared	Chr01	125880000	125920000	4.66122580350123
HLvsGR	shared	Chr01	126040000	126080000	1.58955968769798
HLvsGR	shared	Chr01	126280000	126320000	6.57420142597043
HLvsGR	shared	Chr01	126320000	126360000	3.34188867830167
HLvsGR	shared	Chr01	129400000	129440000	2.67010557172947
HLvsGR	shared	Chr01	129440000	129480000	2.50198355580533
HLvsGR	shared	Chr01	129520000	129560000	6.41882087329256
HLvsGR	shared	Chr01	129760000	129800000	6.49558490785593
HLvsGR	shared	Chr01	129840000	129880000	5.30157237238069
HLvsGR	shared	Chr01	130640000	130680000	3.51165328288288
HLvsGR	shared	Chr01	131000000	131040000	9.45018766923793
HLvsGR	shared	Chr01	131040000	131080000	7.33709021938505
HLvsGR	shared	Chr01	131080000	131120000	3.28763844389036
HLvsGR	shared	Chr01	131760000	131800000	3.49538915570441
HLvsGR	shared	Chr01	1320000	1360000	0.953901890049613
HLvsGR	shared	Chr01	132200000	132240000	2.66276418259582
HLvsGR	shared	Chr01	132240000	132280000	2.89328372875296
HLvsGR	shared	Chr01	132280000	132320000	3.11095231244039
HLvsGR	shared	Chr01	132760000	132800000	1.83236617410897
HLvsGR	shared	Chr01	132800000	132840000	0.679842836004397
HLvsGR	shared	Chr01	133400000	133440000	1.50533154627096
HLvsGR	shared	Chr01	133720000	133760000	2.69793451043831
HLvsGR	shared	Chr01	13480000	13520000	0.792986492438612
HLvsGR	shared	Chr01	13560000	13600000	1.45538367401215
HLvsGR	shared	Chr01	1360000	1400000	0.90226712265582
HLvsGR	shared	Chr01	1400000	1440000	2.33470895170815
HLvsGR	shared	Chr01	140720000	140760000	2.87464009545316
HLvsGR	shared	Chr01	140760000	140800000	3.66218965193432
HLvsGR	shared	Chr01	140840000	140880000	1.55146930793632
HLvsGR	shared	Chr01	141160000	141200000	2.41170832295446
HLvsGR	shared	Chr01	141320000	141360000	2.67404527787439
HLvsGR	shared	Chr01	144800000	144840000	0.703342503394215
HLvsGR	shared	Chr01	144840000	144880000	2.74246115524614
HLvsGR	shared	Chr01	145400000	145440000	5.03063474418298
HLvsGR	shared	Chr01	145440000	145480000	2.78957781333955
HLvsGR	shared	Chr01	146080000	146120000	2.20923665800296
HLvsGR	shared	Chr01	146520000	146560000	1.60233541331925
HLvsGR	shared	Chr01	146560000	146600000	4.59403837821383
HLvsGR	shared	Chr01	147160000	147200000	2.72750930903379
HLvsGR	shared	Chr01	147200000	147240000	2.9427928321149
HLvsGR	shared	Chr01	147520000	147560000	0.971096389598919
HLvsGR	shared	Chr01	147560000	147600000	2.67839725792515
HLvsGR	shared	Chr01	15080000	15120000	2.9809821260754
HLvsGR	shared	Chr01	15160000	15200000	0.56439193307418
HLvsGR	shared	Chr01	15480000	15520000	0.865243524243883
HLvsGR	shared	Chr01	15520000	15560000	2.3635092507252
HLvsGR	shared	Chr01	15560000	15600000	1.26798779947085
HLvsGR	shared	Chr01	1560000	1600000	0.778383918543776
HLvsGR	shared	Chr01	15640000	15680000	5.10977213475544
HLvsGR	shared	Chr01	15680000	15720000	4.34508375453647
HLvsGR	shared	Chr01	157680000	157720000	2.12530716402201
HLvsGR	shared	Chr01	157880000	157920000	7.31318832014465
HLvsGR	shared	Chr01	157920000	157960000	3.25346020547346
HLvsGR	shared	Chr01	158400000	158440000	5.36222956679575
HLvsGR	shared	Chr01	15880000	15920000	1.36243976135543
HLvsGR	shared	Chr01	15960000	16000000	0.729357243545201
HLvsGR	shared	Chr01	160160000	160200000	4.67232573009552
HLvsGR	shared	Chr01	160480000	160520000	1.86632029570318
HLvsGR	shared	Chr01	160520000	160560000	1.817581288351
HLvsGR	shared	Chr01	160800000	160840000	3.95756463485897
HLvsGR	shared	Chr01	160840000	160880000	2.33665233458596
HLvsGR	shared	Chr01	1640000	1680000	2.4700502020915
HLvsGR	shared	Chr01	165280000	165320000	0.93108470700558
HLvsGR	shared	Chr01	167440000	167480000	5.47088040016465
HLvsGR	shared	Chr01	167480000	167520000	3.70393644111681
HLvsGR	shared	Chr01	1680000	1720000	7.46004723366992
HLvsGR	shared	Chr01	170360000	170400000	4.05150448014174
HLvsGR	shared	Chr01	171080000	171120000	10.8506929963413
HLvsGR	shared	Chr01	171120000	171160000	2.80657218932037
HLvsGR	shared	Chr01	171280000	171320000	2.37417292384637
HLvsGR	shared	Chr01	171400000	171440000	4.74047711278296
HLvsGR	shared	Chr01	171440000	171480000	4.86580163582314
HLvsGR	shared	Chr01	171680000	171720000	4.14620239393422
HLvsGR	shared	Chr01	171760000	171800000	2.06847730286734
HLvsGR	shared	Chr01	1720000	1760000	5.93597579273149
HLvsGR	shared	Chr01	172040000	172080000	2.89707590446948
HLvsGR	shared	Chr01	172080000	172120000	5.55921073108836
HLvsGR	shared	Chr01	172400000	172440000	2.25199871607217
HLvsGR	shared	Chr01	173400000	173440000	3.07588922477975
HLvsGR	shared	Chr01	173640000	173680000	3.20287224522535
HLvsGR	shared	Chr01	173960000	174000000	2.67404527787439
HLvsGR	shared	Chr01	174000000	174040000	1.23705331664142
HLvsGR	shared	Chr01	174160000	174200000	0.976693065014045
HLvsGR	shared	Chr01	174720000	174760000	0.700208883642374
HLvsGR	shared	Chr01	174800000	174840000	4.65542825603636
HLvsGR	shared	Chr01	174920000	174960000	2.95698965486098
HLvsGR	shared	Chr01	175120000	175160000	8.76601100382734
HLvsGR	shared	Chr01	175320000	175360000	15.2448130252883
HLvsGR	shared	Chr01	176000000	176040000	1.56254526421663
HLvsGR	shared	Chr01	1760000	1800000	0.796294519899329
HLvsGR	shared	Chr01	176120000	176160000	3.87370865586045
HLvsGR	shared	Chr01	176160000	176200000	3.10295792720865
HLvsGR	shared	Chr01	176200000	176240000	7.16818161944596
