Tissues	Types	Chr	BEG	END	Density
Four	specific	Chr01	5840000	5880000	0.372657366713271
Four	specific	Chr01	5880000	5920000	0.341858790002243
Four	specific	Chr01	5960000	6000000	0.359188734939799
Four	specific	Chr01	6160000	6200000	0.734843504961722
Four	specific	Chr01	6280000	6320000	0.795506327371527
Four	specific	Chr01	6360000	6400000	0.707042048331247
Four	specific	Chr01	6440000	6480000	0.428139021325052
Four	specific	Chr01	6480000	6520000	0.642614651400867
Four	specific	Chr01	10440000	10480000	0.769943189683166
Four	specific	Chr01	10520000	10560000	0.45870678203765
Four	specific	Chr01	10560000	10600000	0.825025640285462
Four	specific	Chr01	10600000	10640000	0.51792481290066
Four	specific	Chr01	10640000	10680000	0.367741931638849
Four	specific	Chr01	10680000	10720000	0.991896261555869
Four	specific	Chr01	10720000	10760000	0.675542517116765
Four	specific	Chr01	10760000	10800000	0.497618566354857
Four	specific	Chr01	10920000	10960000	0.442186664137429
Four	specific	Chr01	10960000	11000000	0.58619665483119
Four	specific	Chr01	11040000	11080000	0.522406792482684
Four	specific	Chr01	11160000	11200000	0.802120540849388
Four	specific	Chr01	11200000	11240000	0.876950892878285
Four	specific	Chr01	11240000	11280000	0.784837262771816
Four	specific	Chr01	11440000	11480000	0.345485455746329
Four	specific	Chr01	11640000	11680000	0.429833829596817
Four	specific	Chr01	11680000	11720000	0.487797864945366
Four	specific	Chr01	11720000	11760000	0.67686342397333
Four	specific	Chr01	12280000	12320000	0.455305784463012
Four	specific	Chr01	18400000	18440000	0.908912630073662
Four	specific	Chr01	18440000	18480000	0.758589086797315
Four	specific	Chr01	18480000	18520000	0.595795974023049
Four	specific	Chr01	18560000	18600000	0.519999510220207
Four	specific	Chr01	18600000	18640000	0.708961910600892
Four	specific	Chr01	18640000	18680000	0.59381283527163
Four	specific	Chr01	18720000	18760000	0.587884413981121
Four	specific	Chr01	18760000	18800000	0.448312014718502
Four	specific	Chr01	18800000	18840000	0.475059982137529
Four	specific	Chr01	18880000	18920000	0.710582809259529
Four	specific	Chr01	19120000	19160000	0.501384553720607
Four	specific	Chr01	19200000	19240000	0.964603444048575
Four	specific	Chr01	19240000	19280000	0.896626736200308
Four	specific	Chr01	19440000	19480000	0.88504049188936
Four	specific	Chr01	19480000	19520000	0.466202265828078
Four	specific	Chr01	19520000	19560000	0.774412097289265
Four	specific	Chr01	19760000	19800000	0.525388065299708
Four	specific	Chr01	19800000	19840000	0.571096614215144
Four	specific	Chr01	19880000	19920000	0.60460396807014
Four	specific	Chr01	19920000	19960000	0.754987351982602
Four	specific	Chr01	20000000	20040000	0.815637375943492
Four	specific	Chr01	25040000	25080000	0.389014103714009
Four	specific	Chr01	25080000	25120000	0.76358253158206
Four	specific	Chr01	25120000	25160000	0.349685370267048
Four	specific	Chr01	25160000	25200000	0.39789800647454
Four	specific	Chr01	25320000	25360000	0.441915325844929
Four	specific	Chr01	25360000	25400000	0.930855888671399
Four	specific	Chr01	25400000	25440000	0.55809995856281
Four	specific	Chr01	29800000	29840000	0.296670365960128
Four	specific	Chr01	30160000	30200000	0.676279789732139
Four	specific	Chr01	30200000	30240000	0.634566219205595
Four	specific	Chr01	30280000	30320000	0.511365246202832
Four	specific	Chr01	34200000	34240000	0.999146420317754
Four	specific	Chr01	34640000	34680000	1
Four	specific	Chr01	34680000	34720000	0.995192298776906
Four	specific	Chr01	34880000	34920000	0.896806363632754
Four	specific	Chr01	34960000	35000000	0.800034359971857
Four	specific	Chr01	35000000	35040000	0.605137347964287
Four	specific	Chr01	35160000	35200000	0.500581633893085
Four	specific	Chr01	38960000	39000000	0.341553939868355
Four	specific	Chr01	39160000	39200000	0.661759035311898
Four	specific	Chr01	39360000	39400000	0.41444824452592
Four	specific	Chr01	39400000	39440000	0.939915996612761
Four	specific	Chr01	39680000	39720000	1
Four	specific	Chr01	39720000	39760000	1
Four	specific	Chr01	39760000	39800000	0.0892433961324877
Four	specific	Chr01	39880000	39920000	0.148065872083945
Four	specific	Chr01	39920000	39960000	0.155612807376131
Four	specific	Chr01	40920000	40960000	0.968037481831861
Four	specific	Chr01	41040000	41080000	0.448763360909482
Four	specific	Chr01	41480000	41520000	1
Four	specific	Chr01	41600000	41640000	0.302736601273173
Four	specific	Chr01	41800000	41840000	0.417757197649934
Four	specific	Chr01	41880000	41920000	0.423336845506768
Four	specific	Chr01	42480000	42520000	0.530600033426489
Four	specific	Chr01	42840000	42880000	0.624126681836298
Four	specific	Chr01	42920000	42960000	1
Four	specific	Chr01	42960000	43000000	0.972491937371251
Four	specific	Chr01	43040000	43080000	0.541001077501777
Four	specific	Chr01	43080000	43120000	0.993269128214322
Four	specific	Chr01	43200000	43240000	0.834625053703585
Four	specific	Chr01	43240000	43280000	0.771585239798039
Four	specific	Chr01	43280000	43320000	0.554890597347591
Four	specific	Chr01	43320000	43360000	0.981629138916474
Four	specific	Chr01	43400000	43440000	0.894837694981453
Four	specific	Chr01	43600000	43640000	0.897931279304829
Four	specific	Chr01	47400000	47440000	0.974024949542068
Four	specific	Chr01	47440000	47480000	0.264242289039178
Four	specific	Chr01	47720000	47760000	0.504171916559709
Four	specific	Chr01	48040000	48080000	0.525970643334385
Four	specific	Chr01	48200000	48240000	0.573757827236664
Four	specific	Chr01	48240000	48280000	0.98790230307168
Four	specific	Chr01	48320000	48360000	0.487483701537823
Four	specific	Chr01	48640000	48680000	0.367110575548562
Four	specific	Chr01	48800000	48840000	0.650785512155891
Four	specific	Chr01	50320000	50360000	0.400817513237514
Four	specific	Chr01	50520000	50560000	0.622643226678681
Four	specific	Chr01	50760000	50800000	0.834671155763096
Four	specific	Chr01	50800000	50840000	0.443329647232415
Four	specific	Chr01	50880000	50920000	0.696708135772215
Four	specific	Chr01	50920000	50960000	0.520766915905784
Four	specific	Chr01	51240000	51280000	0.398253124662127
Four	specific	Chr01	52040000	52080000	0.684655249952328
Four	specific	Chr01	52080000	52120000	0.762507629312507
Four	specific	Chr01	52320000	52360000	0.954326151455275
Four	specific	Chr01	55680000	55720000	0.614461725222756
Four	specific	Chr01	55720000	55760000	0.272842442939433
Four	specific	Chr01	55760000	55800000	0.907014641190788
Four	specific	Chr01	55800000	55840000	0.798371849831515
Four	specific	Chr01	55840000	55880000	0.569768961848225
Four	specific	Chr01	55880000	55920000	0.349847911793179
Four	specific	Chr01	55920000	55960000	0.859936708861502
Four	specific	Chr01	56000000	56040000	0.670288858558429
Four	specific	Chr01	56040000	56080000	0.761055960446899
