Tissues	Types	Chr	BEG	END	Density
Four	specific	Chr01	7120000	7160000	0.423336628552799
Four	specific	Chr01	7160000	7200000	0.39822969410982
Four	specific	Chr01	7200000	7240000	0.617219235110107
Four	specific	Chr01	7240000	7280000	0.966907448478241
Four	specific	Chr01	7280000	7320000	0.722177446644002
Four	specific	Chr01	7320000	7360000	0.835504388245877
Four	specific	Chr01	7360000	7400000	0.499073590764459
Four	specific	Chr01	7400000	7440000	0.327922456564681
Four	specific	Chr01	7440000	7480000	0.456330694382155
Four	specific	Chr01	7480000	7520000	0.758901858520144
Four	specific	Chr01	7560000	7600000	0.649169123690223
Four	specific	Chr01	7600000	7640000	0.212506367024613
Four	specific	Chr01	7640000	7680000	0.250673718337707
Four	specific	Chr01	7680000	7720000	0.452425175212299
Four	specific	Chr01	7720000	7760000	0.991884281019106
Four	specific	Chr01	7760000	7800000	0.32673646839143
Four	specific	Chr01	7800000	7840000	0.992677668161417
Four	specific	Chr01	7840000	7880000	0.831470183052823
Four	specific	Chr01	7880000	7920000	0.360980187340931
Four	specific	Chr01	7920000	7960000	0.647445172875616
Four	specific	Chr01	7960000	8000000	0.712404800708947
Four	specific	Chr01	8000000	8040000	0.825430735705521
Four	specific	Chr01	8040000	8080000	0.836477503190601
Four	specific	Chr01	8080000	8120000	0.274051161260685
Four	specific	Chr01	8120000	8160000	0.342071339426869
Four	specific	Chr01	21680000	21720000	0.937683789688848
Four	specific	Chr01	21720000	21760000	0.766364407350543
Four	specific	Chr01	21760000	21800000	0.821542020420732
Four	specific	Chr01	21840000	21880000	0.241814603992543
Four	specific	Chr01	21880000	21920000	0.734060560628151
Four	specific	Chr01	21960000	22000000	0.906737993482821
Four	specific	Chr01	22160000	22200000	0.9532769442348
Four	specific	Chr01	22200000	22240000	0.539350267267571
Four	specific	Chr01	22280000	22320000	0.537492631826006
Four	specific	Chr01	22320000	22360000	0.476810758788054
Four	specific	Chr01	22360000	22400000	0.421178510283595
Four	specific	Chr01	22600000	22640000	0.707303564202239
Four	specific	Chr01	22960000	23000000	0.963181313420427
Four	specific	Chr01	23000000	23040000	1
Four	specific	Chr01	23040000	23080000	0.856808068470301
Four	specific	Chr01	23080000	23120000	0.577735261143094
Four	specific	Chr01	23160000	23200000	0.572542247715792
Four	specific	Chr01	23200000	23240000	0.87665103465906
Four	specific	Chr01	23280000	23320000	0.261226002078378
Four	specific	Chr01	23320000	23360000	0.547115087924553
Four	specific	Chr01	23360000	23400000	0.840980676542468
Four	specific	Chr01	23400000	23440000	0.688519533978908
Four	specific	Chr01	23440000	23480000	0.248081003302872
Four	specific	Chr01	23520000	23560000	0.454950099930325
Four	specific	Chr01	23560000	23600000	0.766018932566373
Four	specific	Chr01	23600000	23640000	0.544277123106683
Four	specific	Chr01	23640000	23680000	0.698800187693949
Four	specific	Chr01	23680000	23720000	0.269767432180036
Four	specific	Chr01	23760000	23800000	0.5755869198515
Four	specific	Chr01	23920000	23960000	0.851732168295683
Four	specific	Chr01	24000000	24040000	0.897577075112832
Four	specific	Chr01	24040000	24080000	0.397786091849572
Four	specific	Chr01	24160000	24200000	0.9244255425848
Four	specific	Chr01	24240000	24280000	0.250245207731278
Four	specific	Chr01	24280000	24320000	0.765301379475216
Four	specific	Chr01	24360000	24400000	0.483899919820721
Four	specific	Chr01	24480000	24520000	0.184692520344337
Four	specific	Chr01	24600000	24640000	0.668596344826543
Four	specific	Chr01	24720000	24760000	0.846711708852955
Four	specific	Chr01	24760000	24800000	0.639650816633112
Four	specific	Chr01	24840000	24880000	0.296250955696515
Four	specific	Chr01	24880000	24920000	0.321073127748164
Four	specific	Chr01	24920000	24960000	0.50623402194348
Four	specific	Chr01	24960000	25000000	0.296974637458096
Four	specific	Chr01	29520000	29560000	0.308124145651068
Four	specific	Chr01	29560000	29600000	0.298116579367534
Four	specific	Chr01	29600000	29640000	0.923028792686119
Four	specific	Chr01	29640000	29680000	0.387468441190548
Four	specific	Chr01	33280000	33320000	0.723563558354211
Four	specific	Chr01	33720000	33760000	0.929036123717182
Four	specific	Chr01	33760000	33800000	0.916602307893838
Four	specific	Chr01	34200000	34240000	0.999146420317754
Four	specific	Chr01	34640000	34680000	1
Four	specific	Chr01	34680000	34720000	0.995192298776906
Four	specific	Chr01	34880000	34920000	0.896806363632754
Four	specific	Chr01	34960000	35000000	0.800034359971857
Four	specific	Chr01	35000000	35040000	0.605137347964287
Four	specific	Chr01	37360000	37400000	0.643784607469136
Four	specific	Chr01	37520000	37560000	1
Four	specific	Chr01	37880000	37920000	0.877477443349722
Four	specific	Chr01	38000000	38040000	0.938433530961571
Four	specific	Chr01	38200000	38240000	0.764441418181312
Four	specific	Chr01	38400000	38440000	0.703528580677809
Four	specific	Chr01	38480000	38520000	0.205454848511104
Four	specific	Chr01	38640000	38680000	0.824574187907948
Four	specific	Chr01	38680000	38720000	0.530421927976575
Four	specific	Chr01	38760000	38800000	0.657642573146631
Four	specific	Chr01	38800000	38840000	0.639958744359329
Four	specific	Chr01	38960000	39000000	0.341553939868355
Four	specific	Chr01	39160000	39200000	0.661759035311898
Four	specific	Chr01	39360000	39400000	0.41444824452592
Four	specific	Chr01	45520000	45560000	0.407723232995321
Four	specific	Chr01	45560000	45600000	0.490188030262354
Four	specific	Chr01	45640000	45680000	0.898354816883329
Four	specific	Chr01	46320000	46360000	0.573353165598833
Four	specific	Chr01	46360000	46400000	0.186816816727717
Four	specific	Chr01	46600000	46640000	0.689718751707453
Four	specific	Chr01	46640000	46680000	0.764342137663639
Four	specific	Chr01	46680000	46720000	0.785316871647918
Four	specific	Chr01	46760000	46800000	0.680676118895794
Four	specific	Chr01	46800000	46840000	0.909459849982615
Four	specific	Chr01	46880000	46920000	0.322962908679186
Four	specific	Chr01	47000000	47040000	0.614256859058793
Four	specific	Chr01	47040000	47080000	0.366923737681577
Four	specific	Chr01	47080000	47120000	0.516709744305879
Four	specific	Chr01	47120000	47160000	0.522121664654565
Four	specific	Chr01	47160000	47200000	1
Four	specific	Chr01	47200000	47240000	0.933552896695021
Four	specific	Chr01	47240000	47280000	0.410258590065134
Four	specific	Chr01	47320000	47360000	0.419418575015669
Four	specific	Chr01	47400000	47440000	0.974024949542068
Four	specific	Chr01	47440000	47480000	0.264242289039178
Four	specific	Chr01	47720000	47760000	0.504171916559709
Four	specific	Chr01	48040000	48080000	0.525970643334385
Four	specific	Chr01	48200000	48240000	0.573757827236664
Four	specific	Chr01	48240000	48280000	0.98790230307168
Four	specific	Chr01	48320000	48360000	0.487483701537823
Four	specific	Chr01	48640000	48680000	0.367110575548562
Four	specific	Chr01	48800000	48840000	0.650785512155891
Four	specific	Chr01	48840000	48880000	0.658811225000391
Four	specific	Chr01	53840000	53880000	0.484712569749339
Four	specific	Chr01	54200000	54240000	0.548381717743131
Four	specific	Chr01	54240000	54280000	0.340373038655582
Four	specific	Chr01	54280000	54320000	0.609001027901737
Four	specific	Chr01	54480000	54520000	1
Four	specific	Chr01	54720000	54760000	0.598137763266905
Four	specific	Chr01	54760000	54800000	0.909755439900388
Four	specific	Chr01	56440000	56480000	0.540453014746251
Four	specific	Chr01	56480000	56520000	0.412954301343502
Four	specific	Chr01	56520000	56560000	0.426088838446997
Four	specific	Chr01	56560000	56600000	0.510713084942819
Four	specific	Chr01	56600000	56640000	0.319061823048373
Four	specific	Chr01	56640000	56680000	0.805764454206776
Four	specific	Chr01	56680000	56720000	0.343305866598926
Four	specific	Chr01	56720000	56760000	0.235944664398907
Four	specific	Chr01	56760000	56800000	0.531484079404846
Four	specific	Chr01	56800000	56840000	0.855692770159678
Four	specific	Chr01	56840000	56880000	0.219720671259356
Four	specific	Chr01	56880000	56920000	0.988737606714543
Four	specific	Chr01	56960000	57000000	0.346617085880952
Four	specific	Chr01	57000000	57040000	0.251707551932559
Four	specific	Chr01	57040000	57080000	0.322790460443666
Four	specific	Chr01	57080000	57120000	0.881490733101085
Four	specific	Chr01	57120000	57160000	0.531823973104417
Four	specific	Chr01	57160000	57200000	0.455780310252085
Four	specific	Chr01	57200000	57240000	0.335430720023544
Four	specific	Chr01	57240000	57280000	0.489220752121781
Four	specific	Chr01	57280000	57320000	0.311593696873602
Four	specific	Chr01	59720000	59760000	0.354271020526408
Four	specific	Chr01	59800000	59840000	0.861629132387067
Four	specific	Chr01	59960000	60000000	0.466234123967095
Four	specific	Chr01	60000000	60040000	0.484637393859749
Four	specific	Chr01	60160000	60200000	0.999816831122657
Four	specific	Chr01	60440000	60480000	1
Four	specific	Chr01	60960000	61000000	1
Four	specific	Chr01	61120000	61160000	0.761988081286846
Four	specific	Chr01	61160000	61200000	0.633309366080488
Four	specific	Chr01	61280000	61320000	0.339077582237088
Four	specific	Chr01	61360000	61400000	0.608132635295284
Four	specific	Chr01	61400000	61440000	0.724507142059485
Four	specific	Chr01	61440000	61480000	0.976799445869571
Four	specific	Chr01	61480000	61520000	0.973708552105277
Four	specific	Chr01	61520000	61560000	0.951901626669078
Four	specific	Chr01	61600000	61640000	0.334487913194595
Four	specific	Chr01	61640000	61680000	0.758256826822528
Four	specific	Chr01	61720000	61760000	0.896499733082466
Four	specific	Chr01	61760000	61800000	0.467963833896433
Four	specific	Chr01	62240000	62280000	0.942526633340259
Four	specific	Chr01	62280000	62320000	0.921787570242798
Four	specific	Chr01	62320000	62360000	0.475171668255686
Four	specific	Chr01	62360000	62400000	0.632115601980531
Four	specific	Chr01	62600000	62640000	0.824679474103286
Four	specific	Chr01	62640000	62680000	0.500287900153293
Four	specific	Chr01	62960000	63000000	0.673537127193009
Four	specific	Chr01	63000000	63040000	0.791153324983
Four	specific	Chr01	63040000	63080000	0.475745919843767
Four	specific	Chr01	63200000	63240000	0.994108756445008
Four	specific	Chr01	63240000	63280000	0.430438675281037
Four	specific	Chr01	63400000	63440000	0.919219668040973
Four	specific	Chr01	63640000	63680000	0.798878258680676
Four	specific	Chr01	63680000	63720000	0.418959102284175
Four	specific	Chr01	63720000	63760000	0.244682259847328
Four	specific	Chr01	63760000	63800000	0.530254295085916
Four	specific	Chr01	68320000	68360000	0.32564106975973
Four	specific	Chr01	68600000	68640000	1
Four	specific	Chr01	69320000	69360000	1
Four	specific	Chr01	69360000	69400000	0.436920195555107
Four	specific	Chr01	69400000	69440000	0.820150146368131
Four	specific	Chr01	69440000	69480000	0.679809776872692
Four	specific	Chr01	69760000	69800000	0.642264796460328
Four	specific	Chr01	73760000	73800000	0.823204129856919
Four	specific	Chr01	73800000	73840000	1
Four	specific	Chr01	73960000	74000000	0.997443271726976
Four	specific	Chr01	74040000	74080000	0.569092577046194
Four	specific	Chr01	74120000	74160000	0.75896394590743
Four	specific	Chr01	75080000	75120000	0.338939865286204
Four	specific	Chr01	75160000	75200000	1
Four	specific	Chr01	75320000	75360000	0.977438593318679
Four	specific	Chr01	75520000	75560000	0.633970943722128
Four	specific	Chr01	75680000	75720000	0.998982632704372
Four	specific	Chr01	75800000	75840000	0.95917560821304
Four	specific	Chr01	75840000	75880000	0.899258811185146
Four	specific	Chr01	77800000	77840000	0.45296020943233
Four	specific	Chr01	78080000	78120000	0.546728329155481
Four	specific	Chr01	78120000	78160000	0.729473734580164
Four	specific	Chr01	78320000	78360000	0.726045561551066
Four	specific	Chr01	79440000	79480000	0.506544507534803
Four	specific	Chr01	79640000	79680000	0.74580540939963
Four	specific	Chr01	79800000	79840000	0.658016027151698
Four	specific	Chr01	80160000	80200000	1
Four	specific	Chr01	80560000	80600000	1
Four	specific	Chr01	80600000	80640000	1
Four	specific	Chr01	80760000	80800000	1
Four	specific	Chr01	81040000	81080000	1
Four	specific	Chr01	81360000	81400000	0.37052234050224
Four	specific	Chr01	81440000	81480000	0.629956079425103
Four	specific	Chr01	81520000	81560000	0.300351471226563
Four	specific	Chr01	81600000	81640000	1
Four	specific	Chr01	81640000	81680000	1
Four	specific	Chr01	81680000	81720000	0.500682570232969
Four	specific	Chr01	81720000	81760000	0.676290212109705
Four	specific	Chr01	81840000	81880000	0.990549834907434
Four	specific	Chr01	81880000	81920000	0.978276537206005
Four	specific	Chr01	81920000	81960000	0.67500190923441
Four	specific	Chr01	82280000	82320000	0.971412123858695
Four	specific	Chr01	82320000	82360000	0.377954492312369
Four	specific	Chr01	82480000	82520000	0.385032812834974
Four	specific	Chr01	82520000	82560000	0.401613297580352
Four	specific	Chr01	82560000	82600000	0.488846754150389
Four	specific	Chr01	82720000	82760000	0.537384743490813
Four	specific	Chr01	82760000	82800000	0.506942795498561
Four	specific	Chr01	82840000	82880000	0.35412758757721
Four	specific	Chr01	82880000	82920000	0.235523556367156
Four	specific	Chr01	82920000	82960000	0.673203782761205
Four	specific	Chr01	82960000	83000000	0.318190309768339
Four	specific	Chr01	83040000	83080000	0.553874580162325
Four	specific	Chr01	83240000	83280000	0.828649937951603
Four	specific	Chr01	83280000	83320000	0.701260901008386
Four	specific	Chr01	83320000	83360000	0.738476541137285
Four	specific	Chr01	83760000	83800000	0.425238505542963
Four	specific	Chr01	83800000	83840000	0.639546011606501
Four	specific	Chr01	84000000	84040000	0.65572825715448
Four	specific	Chr01	84040000	84080000	0.340663605908186
Four	specific	Chr01	84080000	84120000	0.468790590768024
Four	specific	Chr01	84360000	84400000	0.318247498675632
Four	specific	Chr01	84400000	84440000	0.395578460626897
Four	specific	Chr01	84520000	84560000	1
Four	specific	Chr01	84680000	84720000	0.751446895456489
Four	specific	Chr01	84720000	84760000	0.929330880071233
Four	specific	Chr01	85360000	85400000	0.500437970939912
Four	specific	Chr01	85480000	85520000	0.882027117807716
Four	specific	Chr01	85520000	85560000	0.919953532936166
Four	specific	Chr01	85640000	85680000	0.972454627199832
Four	specific	Chr01	85920000	85960000	0.243687214245015
Four	specific	Chr01	85960000	86000000	0.56137688133776
Four	specific	Chr01	86240000	86280000	0.740263433123343
Four	specific	Chr01	86280000	86320000	0.613293080563156
Four	specific	Chr01	86320000	86360000	0.33678480552592
Four	specific	Chr01	86600000	86640000	0.519760436263352
Four	specific	Chr01	86800000	86840000	1
Four	specific	Chr01	86840000	86880000	0.988392382057604
Four	specific	Chr01	87040000	87080000	0.967957057182943
Four	specific	Chr01	87120000	87160000	1
Four	specific	Chr01	87480000	87520000	0.588051324818993
Four	specific	Chr01	87560000	87600000	0.248877066325386
Four	specific	Chr01	87600000	87640000	0.444009258021698
Four	specific	Chr01	87640000	87680000	0.289027276298832
Four	specific	Chr01	87680000	87720000	0.219407018262185
Four	specific	Chr01	87720000	87760000	0.383147580822047
Four	specific	Chr01	87800000	87840000	0.746013300362768
Four	specific	Chr01	87960000	88000000	0.46621733804832
Four	specific	Chr01	88000000	88040000	0.509739380355522
Four	specific	Chr01	88920000	88960000	0.786781166079457
Four	specific	Chr01	90960000	91000000	0.388968215011177
Four	specific	Chr01	91040000	91080000	0.351883606117212
Four	specific	Chr01	91120000	91160000	1
Four	specific	Chr01	91440000	91480000	0.722002768486932
Four	specific	Chr01	91720000	91760000	1
Four	specific	Chr01	92000000	92040000	0.182304646341886
Four	specific	Chr01	92120000	92160000	0.271820753883963
Four	specific	Chr01	92280000	92320000	0.969693417058021
Four	specific	Chr01	92520000	92560000	0.768491305799912
Four	specific	Chr01	92800000	92840000	1
Four	specific	Chr01	93000000	93040000	0.495374117538132
Four	specific	Chr01	93040000	93080000	0.559635511646755
Four	specific	Chr01	104240000	104280000	0.908716116848705
Four	specific	Chr01	104760000	104800000	0.998078270511573
Four	specific	Chr01	105280000	105320000	0.825210501048254
Four	specific	Chr01	105320000	105360000	0.774200067380778
Four	specific	Chr01	105360000	105400000	0.380066321671498
Four	specific	Chr01	105400000	105440000	0.408502532879562
Four	specific	Chr01	105760000	105800000	0.608997557683329
Four	specific	Chr01	105800000	105840000	0.401218036027201
Four	specific	Chr01	105880000	105920000	0.418726757564279
Four	specific	Chr01	106000000	106040000	0.814653585617832
Four	specific	Chr01	106240000	106280000	0.619607526220609
Four	specific	Chr01	106320000	106360000	1
Four	specific	Chr01	106360000	106400000	0.997961231602859
Four	specific	Chr01	106640000	106680000	0.462879925774187
Four	specific	Chr01	106720000	106760000	0.992458024837002
Four	specific	Chr01	106800000	106840000	0.578294008629088
Four	specific	Chr01	108400000	108440000	0.823274094845465
Four	specific	Chr01	108440000	108480000	0.837774288881014
Four	specific	Chr01	108760000	108800000	0.376105901759916
Four	specific	Chr01	109320000	109360000	0.638306740671483
Four	specific	Chr01	111720000	111760000	0.39532981236641
Four	specific	Chr01	111760000	111800000	0.132026722539976
Four	specific	Chr01	118280000	118320000	0.398686420474396
Four	specific	Chr01	118320000	118360000	0.490415942835603
Four	specific	Chr01	118360000	118400000	0.504928713133406
Four	specific	Chr01	118440000	118480000	0.439184677331144
Four	specific	Chr01	118560000	118600000	0.910921403834176
Four	specific	Chr01	118880000	118920000	0.78342702108446
Four	specific	Chr01	118920000	118960000	0.653964885887327
Four	specific	Chr01	119280000	119320000	0.644087729316324
Four	specific	Chr01	119760000	119800000	0.515257206595208
Four	specific	Chr01	120320000	120360000	0.631175884701069
Four	specific	Chr01	120360000	120400000	0.673881268087699
Four	specific	Chr01	120920000	120960000	0.42671095523618
Four	specific	Chr01	122200000	122240000	1
Four	specific	Chr01	122760000	122800000	0.488428083581812
Four	specific	Chr01	123080000	123120000	0.667307359009217
Four	specific	Chr01	123120000	123160000	0.605722573457871
Four	specific	Chr01	123160000	123200000	0.707753916154978
Four	specific	Chr01	123480000	123520000	0.564725570813197
Four	specific	Chr01	124600000	124640000	1
Four	specific	Chr01	124680000	124720000	0.766774092919764
Four	specific	Chr01	125560000	125600000	0.512068296815724
Four	specific	Chr01	125600000	125640000	0.577233274827716
Four	specific	Chr01	126040000	126080000	0.952680101244366
Four	specific	Chr01	126280000	126320000	1
Four	specific	Chr01	126480000	126520000	0.488928501802747
Four	specific	Chr01	126880000	126920000	0.911278963325877
Four	specific	Chr01	128400000	128440000	0.418116844250862
Four	specific	Chr01	128480000	128520000	0.49838393620534
Four	specific	Chr01	128560000	128600000	0.52189552290906
Four	specific	Chr01	128600000	128640000	0.512748510727645
Four	specific	Chr01	128800000	128840000	0.547492286758526
Four	specific	Chr01	128840000	128880000	0.641387910071036
Four	specific	Chr01	129000000	129040000	0.325462128388757
Four	specific	Chr01	129200000	129240000	0.322274686130764
Four	specific	Chr01	129240000	129280000	0.291042131533273
Four	specific	Chr01	130480000	130520000	0.670563966452003
Four	specific	Chr01	131000000	131040000	1
Four	specific	Chr01	131040000	131080000	0.963429564954397
Four	specific	Chr01	132440000	132480000	0.360207519309405
Four	specific	Chr01	132480000	132520000	0.574859227735709
Four	specific	Chr01	132520000	132560000	0.274926488100594
Four	specific	Chr01	132600000	132640000	0.740381460659397
Four	specific	Chr01	132720000	132760000	0.516092856912952
Four	specific	Chr01	137640000	137680000	0.650367695350068
Four	specific	Chr01	137680000	137720000	0.576648800817224
Four	specific	Chr01	138320000	138360000	0.688964241953504
Four	specific	Chr01	138360000	138400000	0.641693959525763
Four	specific	Chr01	138680000	138720000	0.934713663893091
Four	specific	Chr01	138800000	138840000	0.50118138960173
Four	specific	Chr01	139120000	139160000	0.894178680632216
Four	specific	Chr01	139160000	139200000	0.804256092571167
Four	specific	Chr01	139280000	139320000	0.664687004040436
Four	specific	Chr01	139560000	139600000	0.490615348370976
Four	specific	Chr01	139640000	139680000	1
Four	specific	Chr01	139920000	139960000	0.378234636037845
Four	specific	Chr01	140200000	140240000	0.527082360609624
Four	specific	Chr01	140240000	140280000	0.691012750801307
Four	specific	Chr01	140840000	140880000	0.322905231330197
Four	specific	Chr01	141160000	141200000	0.668390514794658
Four	specific	Chr01	141440000	141480000	0.810270418200974
Four	specific	Chr01	141480000	141520000	0.528745136346157
Four	specific	Chr01	141880000	141920000	0.248306427851325
Four	specific	Chr01	142040000	142080000	0.391468980626908
Four	specific	Chr01	142960000	143000000	0.443925707282819
Four	specific	Chr01	143000000	143040000	0.478051991838352
Four	specific	Chr01	143600000	143640000	0.721698857978198
Four	specific	Chr01	143640000	143680000	0.712709170846378
Four	specific	Chr01	143680000	143720000	0.489673285701699
Four	specific	Chr01	143840000	143880000	0.346650224096064
Four	specific	Chr01	143880000	143920000	0.465293687634505
Four	specific	Chr01	146920000	146960000	0.498857364123623
Four	specific	Chr01	147160000	147200000	0.744211610067341
Four	specific	Chr01	147200000	147240000	0.797538289322407
Four	specific	Chr01	147520000	147560000	0.666850331148934
Four	specific	Chr01	147720000	147760000	0.80704060216122
Four	specific	Chr01	147760000	147800000	0.754156386933993
Four	specific	Chr01	148000000	148040000	0.462200330858573
Four	specific	Chr01	148080000	148120000	0.580037678662321
Four	specific	Chr01	148360000	148400000	0.268304741177259
Four	specific	Chr01	149440000	149480000	0.437717071008591
Four	specific	Chr01	149480000	149520000	0.469801112560028
Four	specific	Chr01	150560000	150600000	0.898898709023202
Four	specific	Chr01	151320000	151360000	0.401759633255584
Four	specific	Chr01	151360000	151400000	0.42591502652879
Four	specific	Chr01	151480000	151520000	0.761661634164359
Four	specific	Chr01	152160000	152200000	0.39338940938188
Four	specific	Chr01	152360000	152400000	0.337562505875688
Four	specific	Chr01	152640000	152680000	0.640585448370772
Four	specific	Chr01	152680000	152720000	0.571920672063885
Four	specific	Chr01	153920000	153960000	1
Four	specific	Chr01	153960000	154000000	1
Four	specific	Chr01	154000000	154040000	0.579104065347956
Four	specific	Chr01	154440000	154480000	0.437531761900333
Four	specific	Chr01	154480000	154520000	0.738140023483957
Four	specific	Chr01	154560000	154600000	0.311048132948824
Four	specific	Chr01	156880000	156920000	0.729384210630882
Four	specific	Chr01	160480000	160520000	0.372089559520936
Four	specific	Chr01	160520000	160560000	0.336464708177339
Four	specific	Chr01	161040000	161080000	0.414714935922209
Four	specific	Chr01	161080000	161120000	0.579152704043095
Four	specific	Chr01	161120000	161160000	0.62612827830967
Four	specific	Chr01	161480000	161520000	0.347140406305759
Four	specific	Chr01	161520000	161560000	0.468853157007402
Four	specific	Chr01	162080000	162120000	0.881369012725346
Four	specific	Chr01	162280000	162320000	0.655385923703286
Four	specific	Chr01	162920000	162960000	0.706682660817503
Four	specific	Chr01	162960000	163000000	0.551251277148601
Four	specific	Chr01	163160000	163200000	0.620599840602173
Four	specific	Chr01	163200000	163240000	0.689889589094896
Four	specific	Chr01	163320000	163360000	0.568765748775062
Four	specific	Chr01	163680000	163720000	0.611420154959621
Four	specific	Chr01	163800000	163840000	0.159281197316524
Four	specific	Chr01	163840000	163880000	0.515512202036089
Four	specific	Chr01	164120000	164160000	0.999771469131556
Four	specific	Chr01	164240000	164280000	0.324190738492052
Four	specific	Chr01	164440000	164480000	0.997593614602567
Four	specific	Chr01	164480000	164520000	0.598199942431692
Four	specific	Chr01	164880000	164920000	0.593730509010477
Four	specific	Chr01	165040000	165080000	0.997056052645006
Four	specific	Chr01	165080000	165120000	0.996753857023339
Four	specific	Chr01	165200000	165240000	0.648400156093156
Four	specific	Chr01	165280000	165320000	0.629364509232415
Four	specific	Chr01	165320000	165360000	0.815765544639145
Four	specific	Chr01	165920000	165960000	0.480054169477909
Four	specific	Chr01	166000000	166040000	0.427668032890923
Four	specific	Chr01	166040000	166080000	0.181449282894473
Four	specific	Chr01	166480000	166520000	0.509882002484526
Four	specific	Chr01	166520000	166560000	0.448066232311944
Four	specific	Chr01	166560000	166600000	0.303360336299591
Four	specific	Chr01	168600000	168640000	0.349663020736827
Four	specific	Chr01	169120000	169160000	0.521917707458895
Four	specific	Chr01	169280000	169320000	0.860681053815727
Four	specific	Chr01	169360000	169400000	0.626875556425982
Four	specific	Chr01	169760000	169800000	0.522719297539415
Four	specific	Chr01	171280000	171320000	0.781775079203253
Four	specific	Chr01	171760000	171800000	0.362893019363252
Four	specific	Chr01	172400000	172440000	0.911393956292663
Four	specific	Chr01	172560000	172600000	0.322338804699749
Four	specific	Chr01	172600000	172640000	0.373258726437903
Four	specific	Chr01	172680000	172720000	0.842535765109616
Four	specific	Chr01	172720000	172760000	0.455260600760794
Four	specific	Chr01	172760000	172800000	0.254060893266298
Four	specific	Chr01	173000000	173040000	0.353959487931591
Four	specific	Chr01	173080000	173120000	0.949619047953096
Four	specific	Chr01	173280000	173320000	0.319950963926562
Four	specific	Chr01	173360000	173400000	0.628995589724726
Four	specific	Chr01	175320000	175360000	0.999921221887941
Four	specific	Chr01	177760000	177800000	0.265352748241521
Four	specific	Chr01	177800000	177840000	0.717990098546685
Four	specific	Chr01	177960000	178000000	0.769372088853975
Four	specific	Chr01	178080000	178120000	0.873007737028991
Four	specific	Chr01	178680000	178720000	0.913311013705509
Four	specific	Chr01	178720000	178760000	0.310188133250057
Four	specific	Chr01	182160000	182200000	0.523339173247867
Four	specific	Chr01	182200000	182240000	0.619456211558629
Four	specific	Chr01	182240000	182280000	0.488205406620103
Four	specific	Chr01	182520000	182560000	0.596837945752706
Four	specific	Chr01	182560000	182600000	0.550058498411682
Four	specific	Chr01	182600000	182640000	0.573602049282793
Four	specific	Chr01	183120000	183160000	0.656057051250232
Four	specific	Chr01	183440000	183480000	0.433489862980685
Four	specific	Chr01	183520000	183560000	0.306698988819469
Four	specific	Chr01	184000000	184040000	0.626921133072175
Four	specific	Chr01	184040000	184080000	0.551960444958907
Four	specific	Chr01	184760000	184800000	0.847596300479744
Four	specific	Chr01	184800000	184840000	0.847965523691821
Four	specific	Chr01	187240000	187280000	0.477827348027279
Four	specific	Chr01	187600000	187640000	0.404859111826839
Four	specific	Chr01	187840000	187880000	0.525560333273545
Four	specific	Chr01	187960000	188000000	0.998665029408959
Four	specific	Chr01	188400000	188440000	0.327102100567929
Four	specific	Chr01	189480000	189520000	0.390513059700861
Four	specific	Chr01	189560000	189600000	0.636216320560714
Four	specific	Chr01	189600000	189640000	0.488158747642365
Four	specific	Chr01	189640000	189680000	0.313062474692726
Four	specific	Chr01	189680000	189720000	0.455822699217094
Four	specific	Chr01	189720000	189760000	0.455064073779542
Four	specific	Chr01	189800000	189840000	0.327978378234077
Four	specific	Chr01	189840000	189880000	0.7480882155186
