Tissues	Types	Chr	BEG	END	Density
HLvsGR	shared	Chr01	115160000	115200000	1.06917943399822
HLvsGR	shared	Chr01	121880000	121920000	1.41298235332568
HLvsGR	shared	Chr01	129400000	129440000	2.67010557172947
HLvsGR	shared	Chr01	133360000	133400000	0.82792030734421
HLvsGR	shared	Chr01	133400000	133440000	1.50533154627096
HLvsGR	shared	Chr01	13840000	13880000	0.787743376858168
HLvsGR	shared	Chr01	146880000	146920000	3.47341798783465
HLvsGR	shared	Chr01	147720000	147760000	2.6887937037975
HLvsGR	shared	Chr01	167560000	167600000	3.68204383125871
HLvsGR	shared	Chr01	170320000	170360000	1.03964722762816
HLvsGR	shared	Chr01	170360000	170400000	4.05150448014174
HLvsGR	shared	Chr01	171280000	171320000	2.37417292384637
HLvsGR	shared	Chr01	177360000	177400000	1.89449335130176
HLvsGR	shared	Chr01	178680000	178720000	1.63522094821555
HLvsGR	shared	Chr01	178960000	179000000	1.44942172607061
HLvsGR	shared	Chr01	187600000	187640000	2.31117003149151
HLvsGR	shared	Chr01	189480000	189520000	1.93667844018775
HLvsGR	shared	Chr01	198840000	198880000	0.692779628480923
HLvsGR	shared	Chr01	200480000	200520000	4.55562312986788
HLvsGR	shared	Chr01	202680000	202720000	1.42373511406542
HLvsGR	shared	Chr01	205520000	205560000	0.576551113028796
HLvsGR	shared	Chr01	206520000	206560000	3.25504008357568
HLvsGR	shared	Chr01	207360000	207400000	2.71245499692046
HLvsGR	shared	Chr01	211120000	211160000	1.39612838764415
HLvsGR	shared	Chr01	211160000	211200000	3.03560850039207
HLvsGR	shared	Chr01	214480000	214520000	2.67518124773833
HLvsGR	shared	Chr01	214520000	214560000	3.87647692075144
HLvsGR	shared	Chr01	216920000	216960000	0.881300521115227
HLvsGR	shared	Chr01	230640000	230680000	1.35952611273775
HLvsGR	shared	Chr01	231720000	231760000	1.6973999043665
HLvsGR	shared	Chr01	233040000	233080000	1.1989735714826
HLvsGR	shared	Chr01	233320000	233360000	3.82359751959162
HLvsGR	shared	Chr01	237280000	237320000	0.694889641918552
HLvsGR	shared	Chr01	237320000	237360000	1.28136855262873
HLvsGR	shared	Chr01	253000000	253040000	4.92576700096042
HLvsGR	shared	Chr01	259160000	259200000	1.54861562495816
HLvsGR	shared	Chr01	259200000	259240000	2.02126271705967
HLvsGR	shared	Chr01	261680000	261720000	3.87779604802389
HLvsGR	shared	Chr01	280880000	280920000	2.1780518791158
HLvsGR	shared	Chr01	285560000	285600000	9.45918143074987
HLvsGR	shared	Chr01	287720000	287760000	0.914839922370525
HLvsGR	shared	Chr01	289360000	289400000	2.5493044357926
HLvsGR	shared	Chr01	291040000	291080000	1.04276901572057
HLvsGR	shared	Chr01	295720000	295760000	5.0404586415022
HLvsGR	shared	Chr01	295760000	295800000	1.65049337147598
HLvsGR	shared	Chr01	303880000	303920000	2.53719392063196
HLvsGR	shared	Chr01	303920000	303960000	7.66723107223565
HLvsGR	shared	Chr01	306200000	306240000	3.34554978956571
HLvsGR	shared	Chr01	309600000	309640000	1.97474861710142
HLvsGR	shared	Chr01	309640000	309680000	1.01456737795568
HLvsGR	shared	Chr01	312040000	312080000	1.62587166638777
HLvsGR	shared	Chr01	316240000	316280000	3.40522003579169
HLvsGR	shared	Chr01	329040000	329080000	0.530349718353406
HLvsGR	shared	Chr01	329240000	329280000	3.81607987345247
HLvsGR	shared	Chr01	33280000	33320000	0.865399884541886
HLvsGR	shared	Chr01	35000000	35040000	0.763462576680101
HLvsGR	shared	Chr01	38120000	38160000	4.53629726792108
HLvsGR	shared	Chr01	42920000	42960000	8.1356345350883
HLvsGR	shared	Chr01	44040000	44080000	0.993223465109257
HLvsGR	shared	Chr01	45520000	45560000	1.03245054845035
HLvsGR	shared	Chr01	52720000	52760000	0.481039506957774
HLvsGR	shared	Chr01	62640000	62680000	1.70294805702814
HLvsGR	shared	Chr01	63880000	63920000	6.34847142046719
HLvsGR	shared	Chr01	67360000	67400000	1.53537123187814
HLvsGR	shared	Chr01	78120000	78160000	1.96862288868337
HLvsGR	shared	Chr01	79080000	79120000	1.92507557311611
HLvsGR	shared	Chr01	84720000	84760000	3.8624858783648
HLvsGR	shared	Chr01	85480000	85520000	2.05270165835925
HLvsGR	shared	Chr01	95120000	95160000	1.33778052658696
HLvsGR	shared	Chr01	95960000	96000000	1.0655574373252
HLvsGR	shared	Chr01	98720000	98760000	1.23416045806714
HLvsGR	shared	Chr01	98760000	98800000	6.37946675008982
HLvsGR	shared	Chr02	103320000	103360000	1.27601166548057
HLvsGR	shared	Chr02	10960000	11000000	3.68379832338904
HLvsGR	shared	Chr02	111120000	111160000	0.56339704912232
HLvsGR	shared	Chr02	113360000	113400000	2.2084129336831
HLvsGR	shared	Chr02	114120000	114160000	12.4367580683188
HLvsGR	shared	Chr02	119400000	119440000	1.34067331925834
HLvsGR	shared	Chr02	121320000	121360000	1.34562667333331
HLvsGR	shared	Chr02	123200000	123240000	2.10388643998509
HLvsGR	shared	Chr02	126040000	126080000	1.1257044980764
HLvsGR	shared	Chr02	131560000	131600000	2.45916180503162
HLvsGR	shared	Chr02	131720000	131760000	2.99257063564414
HLvsGR	shared	Chr02	133640000	133680000	1.24586215890813
HLvsGR	shared	Chr02	13840000	13880000	1.32641988788482
HLvsGR	shared	Chr02	140480000	140520000	2.1320440738899
HLvsGR	shared	Chr02	140520000	140560000	0.89358183226401
HLvsGR	shared	Chr02	142560000	142600000	0.81677591078009
HLvsGR	shared	Chr02	142600000	142640000	0.928739168459735
HLvsGR	shared	Chr02	143440000	143480000	1.91700426660943
HLvsGR	shared	Chr02	144200000	144240000	1.65230506784226
HLvsGR	shared	Chr02	144240000	144280000	1.29903530508588
HLvsGR	shared	Chr02	14440000	14480000	1.39222484689075
HLvsGR	shared	Chr02	153280000	153320000	2.36279049393203
HLvsGR	shared	Chr02	153320000	153360000	4.1060317172092
HLvsGR	shared	Chr02	154120000	154160000	1.47048575321558
HLvsGR	shared	Chr02	154680000	154720000	3.68365560182605
HLvsGR	shared	Chr02	154720000	154760000	0.593721444115387
HLvsGR	shared	Chr02	16080000	16120000	1.03395518092916
HLvsGR	shared	Chr02	19120000	19160000	1.88113511247287
HLvsGR	shared	Chr02	2320000	2360000	4.33426625392355
HLvsGR	shared	Chr02	26480000	26520000	8.31172140132931
HLvsGR	shared	Chr02	26720000	26760000	0.820493515305424
HLvsGR	shared	Chr02	37200000	37240000	5.2197955402971
HLvsGR	shared	Chr02	46720000	46760000	0.880041379179907
HLvsGR	shared	Chr02	58800000	58840000	1.01208255939402
HLvsGR	shared	Chr02	60320000	60360000	9.15285286566754
HLvsGR	shared	Chr02	60360000	60400000	1.19575778477445
HLvsGR	shared	Chr02	60720000	60760000	1.9799628921686
HLvsGR	shared	Chr02	60760000	60800000	1.43970018958764
HLvsGR	shared	Chr02	68560000	68600000	11.5811668083079
HLvsGR	shared	Chr02	68600000	68640000	6.2620684592186
HLvsGR	shared	Chr02	91760000	91800000	1.49862292172026
HLvsGR	shared	Chr02	93800000	93840000	1.42277344222977
HLvsGR	shared	Chr02	93840000	93880000	2.96410999993387
HLvsGR	shared	Chr02	96480000	96520000	2.13780845124531
HLvsGR	shared	Chr02	97000000	97040000	3.21978633668721
HLvsGR	shared	Chr02	97040000	97080000	4.68421340220658
HLvsGR	shared	Chr02	98000000	98040000	3.4267580210103
HLvsGR	shared	Chr02	98120000	98160000	3.58830807919653
HLvsGR	shared	Chr03	114240000	114280000	1.3669536479195
HLvsGR	shared	Chr03	118520000	118560000	6.95497733859563
HLvsGR	shared	Chr03	118560000	118600000	6.77332288900673
HLvsGR	shared	Chr03	12200000	12240000	2.59925327538899
HLvsGR	shared	Chr03	122120000	122160000	2.07134518806539
HLvsGR	shared	Chr03	132760000	132800000	0.991473533575329
HLvsGR	shared	Chr03	141600000	141640000	4.61207720591028
HLvsGR	shared	Chr03	141640000	141680000	0.764588677391753
HLvsGR	shared	Chr03	14440000	14480000	1.01157607425158
HLvsGR	shared	Chr03	150120000	150160000	2.0167478904759
HLvsGR	shared	Chr03	152800000	152840000	3.20946051924734
HLvsGR	shared	Chr03	154000000	154040000	1.6643247670521
HLvsGR	shared	Chr03	156200000	156240000	1.31187085329438
HLvsGR	shared	Chr03	158280000	158320000	2.3784687400673
HLvsGR	shared	Chr03	165400000	165440000	1.23509678804741
HLvsGR	shared	Chr03	171360000	171400000	3.36381338274426
HLvsGR	shared	Chr03	173120000	173160000	3.15498933106444
HLvsGR	shared	Chr03	17320000	17360000	1.12367338297715
HLvsGR	shared	Chr03	182520000	182560000	0.850741914868459
HLvsGR	shared	Chr03	182560000	182600000	1.56371410456711
HLvsGR	shared	Chr03	197160000	197200000	0.645351898241711
HLvsGR	shared	Chr03	21400000	21440000	1.27226268740964
HLvsGR	shared	Chr03	215320000	215360000	2.71430150403396
HLvsGR	shared	Chr03	221840000	221880000	0.820867668914987
HLvsGR	shared	Chr03	222720000	222760000	1.05078997596566
HLvsGR	shared	Chr03	224640000	224680000	4.97709332630473
HLvsGR	shared	Chr03	240760000	240800000	1.15529638969215
HLvsGR	shared	Chr03	241400000	241440000	0.832096429691271
HLvsGR	shared	Chr03	244280000	244320000	2.03708968391835
HLvsGR	shared	Chr03	251560000	251600000	1.83837150001729
HLvsGR	shared	Chr03	254600000	254640000	6.81653275762441
HLvsGR	shared	Chr03	256240000	256280000	1.72634892706634
HLvsGR	shared	Chr03	260200000	260240000	1.93065503887558
