Tissues	Types	Chr	BEG	END	Density
Four	specific	Chr01	1160000	1200000	0.349674901798038
Four	specific	Chr01	1200000	1240000	0.573271814300675
Four	specific	Chr01	1240000	1280000	0.330176571743419
Four	specific	Chr01	1280000	1320000	0.608290270705431
Four	specific	Chr01	4120000	4160000	0.401536029325955
Four	specific	Chr01	4160000	4200000	0.433615431309924
Four	specific	Chr01	6560000	6600000	0.575522619718286
Four	specific	Chr01	6600000	6640000	0.69091161923978
Four	specific	Chr01	7120000	7160000	0.423336628552799
Four	specific	Chr01	7160000	7200000	0.39822969410982
Four	specific	Chr01	8120000	8160000	0.342071339426869
Four	specific	Chr01	8160000	8200000	0.788458115182641
Four	specific	Chr01	8640000	8680000	0.241377556358271
Four	specific	Chr01	8680000	8720000	0.762238745675352
Four	specific	Chr01	10600000	10640000	0.51792481290066
Four	specific	Chr01	10640000	10680000	0.367741931638849
Four	specific	Chr01	10680000	10720000	0.991896261555869
Four	specific	Chr01	11320000	11360000	0.503970410545909
Four	specific	Chr01	11360000	11400000	0.270754480638376
Four	specific	Chr01	14800000	14840000	0.317185840898438
Four	specific	Chr01	14840000	14880000	0.681603312709571
Four	specific	Chr01	19240000	19280000	0.896626736200308
Four	specific	Chr01	21680000	21720000	0.937683789688848
Four	specific	Chr01	21720000	21760000	0.766364407350543
Four	specific	Chr01	22280000	22320000	0.537492631826006
Four	specific	Chr01	22320000	22360000	0.476810758788054
Four	specific	Chr01	22360000	22400000	0.421178510283595
Four	specific	Chr01	23200000	23240000	0.87665103465906
Four	specific	Chr01	23280000	23320000	0.261226002078378
Four	specific	Chr01	23320000	23360000	0.547115087924553
Four	specific	Chr01	24920000	24960000	0.50623402194348
Four	specific	Chr01	24960000	25000000	0.296974637458096
Four	specific	Chr01	25760000	25800000	0.329095521715993
Four	specific	Chr01	25800000	25840000	0.578933182374025
Four	specific	Chr01	26920000	26960000	0.462892736135045
Four	specific	Chr01	26960000	27000000	0.201356377063425
Four	specific	Chr01	27000000	27040000	0.724102603571094
Four	specific	Chr01	27560000	27600000	0.472242194028725
Four	specific	Chr01	28600000	28640000	0.369935335027924
Four	specific	Chr01	28640000	28680000	0.77059720542291
Four	specific	Chr01	28720000	28760000	0.997933608463113
Four	specific	Chr01	29480000	29520000	0.568921685965596
Four	specific	Chr01	29520000	29560000	0.308124145651068
Four	specific	Chr01	29800000	29840000	0.296670365960128
Four	specific	Chr01	32360000	32400000	0.194058833335476
Four	specific	Chr01	32400000	32440000	0.714340572929127
Four	specific	Chr01	33280000	33320000	0.723563558354211
Four	specific	Chr01	34640000	34680000	1
Four	specific	Chr01	34960000	35000000	0.800034359971857
Four	specific	Chr01	35000000	35040000	0.605137347964287
Four	specific	Chr01	36560000	36600000	0.44419374256149
Four	specific	Chr01	36680000	36720000	0.460546776997519
Four	specific	Chr01	41480000	41520000	1
Four	specific	Chr01	43840000	43880000	0.321868922673826
Four	specific	Chr01	43880000	43920000	0.77698074573525
Four	specific	Chr01	44560000	44600000	0.359805572181888
Four	specific	Chr01	45520000	45560000	0.407723232995321
Four	specific	Chr01	45560000	45600000	0.490188030262354
Four	specific	Chr01	54800000	54840000	0.779614383906342
Four	specific	Chr01	54840000	54880000	0.302639226083423
Four	specific	Chr01	56400000	56440000	0.423725161227396
Four	specific	Chr01	56440000	56480000	0.540453014746251
Four	specific	Chr01	56480000	56520000	0.412954301343502
Four	specific	Chr01	56680000	56720000	0.343305866598926
Four	specific	Chr01	56720000	56760000	0.235944664398907
Four	specific	Chr01	57280000	57320000	0.311593696873602
Four	specific	Chr01	57320000	57360000	0.521082126639212
Four	specific	Chr01	59360000	59400000	0.756096919761557
Four	specific	Chr01	59400000	59440000	0.458253388539753
